time,size,frequency
15.0,6,4
15.0,8,2
15.0,14,1
15.0,18,1
15.0,21,1
15.0,26,1
15.0,36,1
15.0,48,1
15.0,88,1
15.0,2105,1
15.5,1,84
15.5,2,16
15.5,3,10
15.5,4,5
15.5,5,3
15.5,6,4
15.5,7,4
15.5,8,1
15.5,9,3
15.5,11,1
15.5,13,1
15.5,27,1
15.5,54,1
15.5,74,1
15.5,2134,1
16.0,1,64
16.0,2,30
16.0,3,9
16.0,4,4
16.0,5,7
16.0,6,4
16.0,9,2
16.0,12,1
16.0,13,1
16.0,14,1
16.0,30,1
16.0,48,1
16.0,67,1
16.0,318,1
16.0,1825,1
16.5,1,75
16.5,2,14
16.5,3,16
16.5,4,6
16.5,5,1
16.5,6,2
16.5,7,4
16.5,8,2
16.5,9,1
16.5,10,1
16.5,13,1
16.5,15,1
16.5,19,1
16.5,21,1
16.5,25,2
16.5,29,1
16.5,34,1
16.5,2116,1
17.0,1,84
17.0,2,25
17.0,3,13
17.0,4,11
17.0,5,6
17.0,6,4
17.0,7,5
17.0,10,1
17.0,11,4
17.0,14,1
17.0,18,1
17.0,20,1
17.0,22,1
17.0,26,1
17.0,27,1
17.0,28,1
17.0,31,1
17.0,63,1
17.0,1946,1
17.5,1,70
17.5,2,17
17.5,3,11
17.5,4,10
17.5,5,2
17.5,6,3
17.5,7,3
17.5,8,2
17.5,11,3
17.5,12,1
17.5,13,2
17.5,23,1
17.5,24,1
17.5,25,1
17.5,29,1
17.5,31,2
17.5,32,1
17.5,2032,1
18.0,1,60
18.0,2,25
18.0,3,13
18.0,4,6
18.0,5,7
18.0,6,2
18.0,7,1
18.0,8,3
18.0,10,3
18.0,12,2
18.0,13,1
18.0,16,1
18.0,20,2
18.0,34,1
18.0,130,1
18.0,2009,1
18.5,1,86
18.5,2,22
18.5,3,7
18.5,4,5
18.5,5,6
18.5,6,2
18.5,7,3
18.5,9,2
18.5,10,1
18.5,13,1
18.5,14,1
18.5,27,1
18.5,41,1
18.5,71,1
18.5,2111,1
19.0,1,66
19.0,2,29
19.0,3,6
19.0,4,9
19.0,5,3
19.0,6,3
19.0,7,3
19.0,8,3
19.0,9,1
19.0,10,1
19.0,11,1
19.0,16,1
19.0,17,1
19.0,20,1
19.0,26,1
19.0,38,1
19.0,94,1
19.0,2036,1
19.5,1,66
19.5,2,25
19.5,3,12
19.5,4,6
19.5,5,2
19.5,6,4
19.5,7,2
19.5,8,3
19.5,9,1
19.5,10,1
19.5,11,2
19.5,13,1
19.5,15,2
19.5,17,2
19.5,18,1
19.5,19,1
19.5,24,1
19.5,26,1
19.5,30,1
19.5,33,1
19.5,37,1
19.5,1977,1
20.0,1,81
20.0,2,22
20.0,3,14
20.0,4,4
20.0,5,3
20.0,6,1
20.0,7,1
20.0,8,3
20.0,9,4
20.0,13,2
20.0,16,1
20.0,18,2
20.0,20,1
20.0,26,1
20.0,2136,1
20.5,1,65
20.5,2,21
20.5,3,10
20.5,4,6
20.5,5,1
20.5,6,3
20.5,7,2
20.5,10,1
20.5,12,1
20.5,22,1
20.5,2290,1
21.0,1,71
21.0,2,31
21.0,3,15
21.0,4,4
21.0,5,2
21.0,6,3
21.0,7,2
21.0,10,4
21.0,11,1
21.0,15,1
21.0,44,1
21.0,2185,1
21.5,1,72
21.5,2,24
21.5,3,11
21.5,4,9
21.5,5,4
21.5,6,1
21.5,7,1
21.5,8,1
21.5,14,1
21.5,15,1
21.5,16,2
21.5,57,1
21.5,59,1
21.5,2128,1
22.0,1,79
22.0,2,22
22.0,3,9
22.0,4,7
22.0,5,1
22.0,6,2
22.0,7,3
22.0,8,2
22.0,9,1
22.0,10,1
22.0,11,3
22.0,18,2
22.0,24,1
22.0,2192,1
22.5,1,89
22.5,2,18
22.5,3,13
22.5,4,5
22.5,5,5
22.5,6,2
22.5,7,2
22.5,8,2
22.5,10,1
22.5,11,1
22.5,13,1
22.5,14,1
22.5,16,1
22.5,19,1
22.5,26,1
22.5,38,1
22.5,67,1
22.5,2088,1
23.0,1,87
23.0,2,21
23.0,3,12
23.0,4,10
23.0,5,6
23.0,6,2
23.0,7,1
23.0,8,1
23.0,9,2
23.0,10,1
23.0,11,1
23.0,12,1
23.0,14,1
23.0,16,1
23.0,17,1
23.0,21,1
23.0,22,1
23.0,23,1
23.0,2137,1
23.5,1,70
23.5,2,26
23.5,3,13
23.5,4,6
23.5,5,2
23.5,6,3
23.5,8,2
23.5,9,1
23.5,11,1
23.5,16,2
23.5,17,1
23.5,34,1
23.5,41,1
23.5,49,1
23.5,2163,1
24.0,1,77
24.0,2,26
24.0,3,10
24.0,4,3
24.0,5,1
24.0,7,2
24.0,10,1
24.0,2398,1
24.5,1,62
24.5,2,15
24.5,3,14
24.5,4,10
24.5,5,2
24.5,6,2
24.5,7,4
24.5,8,1
24.5,9,2
24.5,10,1
24.5,13,1
24.5,24,1
24.5,33,1
24.5,38,1
24.5,48,1
24.5,2175,1
25.0,1,72
25.0,2,25
25.0,3,8
25.0,4,5
25.0,5,6
25.0,6,5
25.0,7,2
25.0,8,1
25.0,9,3
25.0,10,1
25.0,13,1
25.0,14,1
25.0,16,1
25.0,21,1
25.0,43,1
25.0,2204,1
25.5,1,57
25.5,2,26
25.5,3,13
25.5,4,7
25.5,5,2
25.5,6,3
25.5,7,1
25.5,8,1
25.5,9,1
25.5,11,1
25.5,14,1
25.5,15,2
25.5,21,1
25.5,23,1
25.5,2273,1
26.0,1,76
26.0,2,24
26.0,3,16
26.0,4,4
26.0,5,6
26.0,6,3
26.0,7,1
26.0,8,1
26.0,10,2
26.0,11,2
26.0,12,4
26.0,14,1
26.0,16,2
26.0,31,1
26.0,2190,1
26.5,1,75
26.5,2,22
26.5,3,7
26.5,4,7
26.5,5,9
26.5,6,3
26.5,7,3
26.5,9,6
26.5,11,2
26.5,13,1
26.5,14,1
26.5,21,1
26.5,23,2
26.5,38,1
26.5,68,1
26.5,2084,1
27.0,1,76
27.0,2,19
27.0,3,14
27.0,4,5
27.0,5,3
27.0,6,2
27.0,7,5
27.0,8,1
27.0,9,1
27.0,10,2
27.0,11,1
27.0,13,2
27.0,18,1
27.0,21,1
27.0,27,1
27.0,2238,1
27.5,1,61
27.5,2,27
27.5,3,11
27.5,4,2
27.5,5,6
27.5,6,2
27.5,7,1
27.5,8,1
27.5,9,1
27.5,10,3
27.5,12,1
27.5,14,1
27.5,16,1
27.5,17,1
27.5,21,1
27.5,60,1
27.5,85,1
27.5,2142,1
28.0,1,89
28.0,2,26
28.0,3,17
28.0,4,7
28.0,5,4
28.0,7,2
28.0,8,2
28.0,11,2
28.0,2352,1
28.5,1,80
28.5,2,16
28.5,3,10
28.5,4,7
28.5,5,6
28.5,6,3
28.5,7,4
28.5,8,1
28.5,22,1
28.5,29,1
28.5,67,1
28.5,130,1
28.5,2138,1
29.0,1,102
29.0,2,36
29.0,3,13
29.0,4,5
29.0,5,4
29.0,6,1
29.0,7,7
29.0,9,3
29.0,10,2
29.0,11,1
29.0,12,1
29.0,15,1
29.0,16,1
29.0,19,1
29.0,22,1
29.0,24,1
29.0,3775,1
29.5,1,100
29.5,2,22
29.5,3,12
29.5,4,14
29.5,5,4
29.5,6,2
29.5,7,2
29.5,8,1
29.5,9,2
29.5,11,2
29.5,19,1
29.5,49,1
29.5,3864,1
30.0,1,102
30.0,2,44
30.0,3,4
30.0,4,9
30.0,5,3
30.0,6,1
30.0,7,1
30.0,9,2
30.0,11,2
30.0,13,1
30.0,15,1
30.0,16,1
30.0,18,1
30.0,34,1
30.0,48,1
30.0,54,1
30.0,3739,1
30.5,1,97
30.5,2,28
30.5,3,13
30.5,4,5
30.5,5,6
30.5,6,1
30.5,7,5
30.5,8,2
30.5,10,1
30.5,12,1
30.5,3946,1
31.0,1,109
31.0,2,28
31.0,3,17
31.0,4,11
31.0,5,3
31.0,6,3
31.0,7,7
31.0,8,2
31.0,9,1
31.0,10,2
31.0,12,2
31.0,13,1
31.0,16,1
31.0,18,1
31.0,31,1
31.0,3760,1
31.5,1,80
31.5,2,17
31.5,3,22
31.5,4,10
31.5,5,5
31.5,6,3
31.5,7,8
31.5,8,1
31.5,9,2
31.5,10,3
31.5,11,2
31.5,13,3
31.5,19,1
31.5,3789,1
32.0,1,103
32.0,2,20
32.0,3,19
32.0,4,12
32.0,5,4
32.0,6,2
32.0,7,3
32.0,9,3
32.0,11,2
32.0,17,1
32.0,24,1
32.0,26,1
32.0,40,1
32.0,3777,1
32.5,1,101
32.5,2,23
32.5,3,16
32.5,4,12
32.5,5,2
32.5,6,2
32.5,7,1
32.5,8,1
32.5,9,2
32.5,10,2
32.5,11,1
32.5,12,1
32.5,13,1
32.5,17,1
32.5,51,1
32.5,3820,1
33.0,1,104
33.0,2,31
33.0,3,14
33.0,4,6
33.0,6,5
33.0,7,3
33.0,8,1
33.0,9,1
33.0,11,1
33.0,12,1
33.0,13,2
33.0,29,1
33.0,30,1
33.0,45,1
33.0,3782,1
33.5,1,96
33.5,2,30
33.5,3,19
33.5,4,4
33.5,5,5
33.5,6,5
33.5,8,4
33.5,9,1
33.5,10,1
33.5,11,1
33.5,12,2
33.5,13,1
33.5,21,2
33.5,27,1
33.5,44,1
33.5,3750,1
34.0,1,128
34.0,2,40
34.0,3,9
34.0,4,9
34.0,5,2
34.0,6,7
34.0,7,2
34.0,8,3
34.0,10,1
34.0,11,1
34.0,13,1
34.0,14,1
34.0,17,1
34.0,4537,1
34.5,1,113
34.5,2,29
34.5,3,23
34.5,4,9
34.5,5,5
34.5,6,3
34.5,8,3
34.5,9,2
34.5,10,3
34.5,22,1
34.5,4544,1
35.0,1,120
35.0,2,21
35.0,3,21
35.0,4,7
35.0,5,7
35.0,6,3
35.0,7,3
35.0,8,1
35.0,9,3
35.0,10,1
35.0,11,2
35.0,12,1
35.0,13,1
35.0,14,1
35.0,18,1
35.0,20,1
35.0,31,1
35.0,4446,1
35.5,1,111
35.5,2,29
35.5,3,11
35.5,4,8
35.5,5,4
35.5,6,1
35.5,7,1
35.5,8,2
35.5,9,1
35.5,10,1
35.5,13,1
35.5,14,2
35.5,4592,1
36.0,1,114
36.0,2,32
36.0,3,11
36.0,4,5
36.0,5,7
36.0,6,3
36.0,7,2
36.0,9,2
36.0,10,2
36.0,11,2
36.0,44,1
36.0,4548,1
36.5,1,115
36.5,2,42
36.5,3,25
36.5,4,14
36.5,5,5
36.5,6,4
36.5,7,2
36.5,10,2
36.5,11,1
36.5,12,1
36.5,13,1
36.5,14,2
36.5,15,2
36.5,4421,1
37.0,1,101
37.0,2,36
37.0,3,16
37.0,4,9
37.0,5,6
37.0,6,3
37.0,7,1
37.0,8,1
37.0,9,1
37.0,13,3
37.0,21,2
37.0,27,1
37.0,76,1
37.0,4416,1
37.5,1,106
37.5,2,30
37.5,3,13
37.5,4,8
37.5,5,3
37.5,6,1
37.5,7,1
37.5,8,3
37.5,10,1
37.5,12,1
37.5,14,1
37.5,15,1
37.5,16,1
37.5,22,1
37.5,27,1
37.5,4527,1
38.0,1,112
38.0,2,32
38.0,3,16
38.0,4,5
38.0,5,4
38.0,6,2
38.0,7,4
38.0,8,2
38.0,9,2
38.0,10,1
38.0,12,1
38.0,13,1
38.0,14,2
38.0,15,1
38.0,4505,1
38.5,1,135
38.5,2,24
38.5,3,22
38.5,4,6
38.5,5,5
38.5,6,5
38.5,9,2
38.5,10,3
38.5,11,2
38.5,12,2
38.5,15,1
38.5,16,1
38.5,19,2
38.5,22,1
38.5,26,1
38.5,53,1
38.5,65,1
38.5,4282,1
39.0,1,106
39.0,2,40
39.0,3,9
39.0,4,5
39.0,5,10
39.0,6,6
39.0,7,1
39.0,8,3
39.0,9,3
39.0,10,3
39.0,16,1
39.0,21,1
39.0,37,1
39.0,4466,1
39.5,1,110
39.5,2,30
39.5,3,16
39.5,4,7
39.5,5,3
39.5,6,2
39.5,7,2
39.5,8,1
39.5,9,2
39.5,10,3
39.5,11,1
39.5,13,2
39.5,20,1
39.5,73,1
39.5,4483,1
40.0,1,102
40.0,2,22
40.0,3,11
40.0,4,14
40.0,5,6
40.0,6,2
40.0,7,1
40.0,8,2
40.0,10,2
40.0,11,1
40.0,13,1
40.0,19,1
40.0,31,1
40.0,4559,1
40.5,1,97
40.5,2,31
40.5,3,12
40.5,4,8
40.5,5,3
40.5,6,6
40.5,7,2
40.5,9,1
40.5,16,1
40.5,4640,1
41.0,1,118
41.0,2,29
41.0,3,12
41.0,4,8
41.0,5,2
41.0,6,2
41.0,7,2
41.0,9,1
41.0,11,2
41.0,16,1
41.0,4624,1
41.5,1,81
41.5,2,25
41.5,3,14
41.5,4,8
41.5,5,7
41.5,6,5
41.5,7,1
41.5,8,2
41.5,10,1
41.5,12,1
41.5,13,1
41.5,17,1
41.5,4604,1
42.0,1,111
42.0,2,25
42.0,3,11
42.0,4,8
42.0,5,3
42.0,6,3
42.0,7,6
42.0,9,2
42.0,10,2
42.0,11,4
42.0,14,1
42.0,15,2
42.0,19,1
42.0,27,1
42.0,33,1
42.0,53,1
42.0,4391,1
42.5,1,106
42.5,2,30
42.5,3,22
42.5,4,3
42.5,5,5
42.5,6,2
42.5,7,4
42.5,8,3
42.5,9,1
42.5,10,2
42.5,11,1
42.5,12,1
42.5,14,2
42.5,20,1
42.5,31,1
42.5,4480,1
43.0,1,141
43.0,2,41
43.0,3,8
43.0,4,10
43.0,5,4
43.0,6,2
43.0,7,1
43.0,9,3
43.0,11,1
43.0,19,2
43.0,34,1
43.0,4496,1
43.5,1,94
43.5,2,34
43.5,3,14
43.5,4,8
43.5,5,6
43.5,6,2
43.5,7,1
43.5,8,2
43.5,10,1
43.5,11,1
43.5,12,1
43.5,14,1
43.5,15,1
43.5,18,2
43.5,22,1
43.5,24,1
43.5,4488,1
44.0,1,104
44.0,2,36
44.0,3,17
44.0,4,7
44.0,5,6
44.0,6,2
44.0,8,3
44.0,10,1
44.0,11,1
44.0,27,1
44.0,4569,1
44.5,1,108
44.5,2,34
44.5,3,9
44.5,4,9
44.5,5,6
44.5,6,1
44.5,7,2
44.5,8,1
44.5,9,2
44.5,10,2
44.5,11,1
44.5,13,3
44.5,14,1
44.5,17,1
44.5,23,1
44.5,24,1
44.5,38,1
44.5,58,1
44.5,4382,1
45.0,1,98
45.0,2,25
45.0,3,11
45.0,4,7
45.0,5,7
45.0,6,3
45.0,7,2
45.0,8,3
45.0,9,1
45.0,11,1
45.0,14,3
45.0,26,1
45.0,46,1
45.0,122,1
45.0,4387,1
45.5,1,107
45.5,2,37
45.5,3,11
45.5,4,7
45.5,5,5
45.5,6,2
45.5,7,1
45.5,9,1
45.5,10,1
45.5,12,1
45.5,14,1
45.5,19,1
45.5,22,1
45.5,28,1
45.5,4536,1
46.0,1,112
46.0,2,25
46.0,3,15
46.0,4,8
46.0,5,3
46.0,6,3
46.0,7,1
46.0,8,3
46.0,9,4
46.0,11,2
46.0,12,1
46.0,17,1
46.0,19,1
46.0,4531,1
46.5,1,121
46.5,2,33
46.5,3,15
46.5,4,7
46.5,5,5
46.5,6,4
46.5,7,3
46.5,8,3
46.5,9,1
46.5,12,1
46.5,25,1
46.5,4545,1
47.0,1,89
47.0,2,33
47.0,3,13
47.0,4,9
47.0,5,8
47.0,6,3
47.0,7,5
47.0,8,3
47.0,9,1
47.0,10,1
47.0,12,1
47.0,16,2
47.0,23,1
47.0,24,1
47.0,37,1
47.0,4446,1
47.5,1,122
47.5,2,34
47.5,3,12
47.5,4,12
47.5,5,5
47.5,6,3
47.5,7,3
47.5,8,3
47.5,10,3
47.5,11,1
47.5,12,1
47.5,13,3
47.5,18,1
47.5,27,1
47.5,4430,1
48.0,1,119
48.0,2,30
48.0,3,12
48.0,4,8
48.0,5,1
48.0,6,1
48.0,7,2
48.0,9,3
48.0,10,1
48.0,14,1
48.0,23,1
48.0,31,1
48.0,32,1
48.0,4527,1
48.5,1,97
48.5,2,21
48.5,3,15
48.5,4,6
48.5,5,6
48.5,6,4
48.5,7,1
48.5,8,4
48.5,9,2
48.5,10,1
48.5,12,1
48.5,18,1
48.5,29,2
48.5,32,1
48.5,40,1
48.5,4452,1
49.0,1,99
49.0,2,28
49.0,3,18
49.0,4,10
49.0,5,4
49.0,6,2
49.0,7,3
49.0,8,1
49.0,9,1
49.0,13,1
49.0,21,1
49.0,22,1
49.0,4569,1
49.5,1,99
49.5,2,30
49.5,3,26
49.5,4,6
49.5,5,5
49.5,6,3
49.5,7,2
49.5,8,1
49.5,9,1
49.5,10,2
49.5,13,3
49.5,14,1
49.5,18,1
49.5,19,1
49.5,37,1
49.5,4476,1
50.0,1,121
50.0,2,39
50.0,3,23
50.0,4,11
50.0,5,4
50.0,6,7
50.0,7,2
50.0,8,1
50.0,9,1
50.0,10,2
50.0,15,1
50.0,16,3
50.0,21,1
50.0,31,1
50.0,41,1
50.0,76,1
50.0,4298,1
50.5,1,97
50.5,2,42
50.5,3,18
50.5,4,10
50.5,5,1
50.5,6,4
50.5,7,3
50.5,8,3
50.5,9,2
50.5,13,1
50.5,14,1
50.5,15,1
50.5,19,1
50.5,43,1
50.5,4478,1
51.0,1,112
51.0,2,33
51.0,3,9
51.0,4,6
51.0,5,4
51.0,6,4
51.0,7,3
51.0,8,1
51.0,9,2
51.0,10,1
51.0,15,1
51.0,22,1
51.0,38,1
51.0,4550,1
51.5,1,108
51.5,2,38
51.5,3,6
51.5,4,7
51.5,5,7
51.5,6,2
51.5,7,4
51.5,8,1
51.5,11,2
51.5,12,1
51.5,13,1
51.5,14,1
51.5,38,1
51.5,47,1
51.5,52,1
51.5,4432,1
52.0,1,100
52.0,2,27
52.0,3,11
52.0,4,8
52.0,5,6
52.0,6,4
52.0,7,1
52.0,8,6
52.0,9,3
52.0,10,2
52.0,14,1
52.0,31,1
52.0,4531,1
52.5,1,108
52.5,2,33
52.5,3,14
52.5,4,6
52.5,5,4
52.5,6,3
52.5,7,3
52.5,8,2
52.5,10,1
52.5,14,1
52.5,15,1
52.5,17,1
52.5,39,1
52.5,4537,1
53.0,1,120
53.0,2,26
53.0,3,15
53.0,4,5
53.0,5,7
53.0,6,4
53.0,7,1
53.0,8,1
53.0,10,1
53.0,11,1
53.0,12,3
53.0,14,1
53.0,16,1
53.0,22,1
53.0,31,1
53.0,4478,1
53.5,1,108
53.5,2,32
53.5,3,13
53.5,4,8
53.5,5,7
53.5,6,4
53.5,7,3
53.5,8,1
53.5,10,1
53.5,11,1
53.5,28,1
53.5,42,1
53.5,46,1
53.5,4462,1
54.0,1,113
54.0,2,29
54.0,3,11
54.0,4,9
54.0,5,2
54.0,6,5
54.0,7,2
54.0,8,2
54.0,9,2
54.0,11,1
54.0,12,2
54.0,15,1
54.0,33,1
54.0,4529,1
54.5,1,105
54.5,2,27
54.5,3,16
54.5,4,8
54.5,5,4
54.5,6,3
54.5,8,2
54.5,9,2
54.5,10,1
54.5,11,1
54.5,12,1
54.5,13,2
54.5,15,1
54.5,18,1
54.5,21,1
54.5,43,1
54.5,51,1
54.5,4436,1
55.0,1,105
55.0,2,24
55.0,3,12
55.0,4,9
55.0,5,4
55.0,6,2
55.0,7,6
55.0,8,3
55.0,10,1
55.0,11,1
55.0,12,1
55.0,13,1
55.0,16,1
55.0,17,1
55.0,21,1
55.0,22,1
55.0,25,1
55.0,27,1
55.0,29,1
55.0,41,1
55.0,4384,1
55.5,1,106
55.5,2,30
55.5,3,10
55.5,4,8
55.5,5,7
55.5,6,1
55.5,7,1
55.5,8,2
55.5,10,1
55.5,11,1
55.5,12,1
55.5,13,2
55.5,14,1
55.5,19,1
55.5,42,1
55.5,4529,1
56.0,1,111
56.0,2,32
56.0,3,13
56.0,4,11
56.0,5,2
56.0,6,2
56.0,7,4
56.0,8,1
56.0,9,1
56.0,11,1
56.0,12,2
56.0,13,1
56.0,15,1
56.0,23,1
56.0,31,1
56.0,4520,1
56.5,1,101
56.5,2,35
56.5,3,13
56.5,4,4
56.5,5,3
56.5,6,3
56.5,7,1
56.5,8,1
56.5,9,2
56.5,14,2
56.5,18,1
56.5,33,1
56.5,43,1
56.5,4540,1
57.0,1,110
57.0,2,35
57.0,3,10
57.0,4,13
57.0,5,9
57.0,6,1
57.0,7,1
57.0,8,2
57.0,9,1
57.0,10,1
57.0,12,1
57.0,13,2
57.0,14,1
57.0,15,2
57.0,20,1
57.0,32,1
57.0,39,1
57.0,40,1
57.0,4381,1
57.5,1,105
57.5,2,20
57.5,3,12
57.5,4,10
57.5,5,6
57.5,6,1
57.5,7,3
57.5,8,2
57.5,9,3
57.5,10,2
57.5,16,1
57.5,17,1
57.5,20,2
57.5,63,1
57.5,4470,1
58.0,1,125
58.0,2,29
58.0,3,17
58.0,4,11
58.0,5,8
58.0,6,1
58.0,7,2
58.0,8,2
58.0,9,4
58.0,12,2
58.0,14,1
58.0,16,1
58.0,26,1
58.0,29,1
58.0,4456,1
58.5,1,123
58.5,2,32
58.5,3,15
58.5,4,6
58.5,5,5
58.5,6,5
58.5,9,3
58.5,11,2
58.5,13,1
58.5,15,1
58.5,49,1
58.5,4489,1
59.0,1,107
59.0,2,33
59.0,3,14
59.0,4,9
59.0,5,4
59.0,6,4
59.0,7,1
59.0,8,1
59.0,9,1
59.0,10,3
59.0,12,3
59.0,16,1
59.0,18,1
59.0,34,1
59.0,4488,1
59.5,1,105
59.5,2,33
59.5,3,13
59.5,4,4
59.5,5,1
59.5,6,2
59.5,7,4
59.5,8,3
59.5,9,1
59.5,10,1
59.5,12,1
59.5,13,1
59.5,14,2
59.5,16,1
59.5,17,1
59.5,4553,1
60.0,1,113
60.0,2,38
60.0,3,11
60.0,4,6
60.0,5,2
60.0,6,4
60.0,7,2
60.0,8,2
60.0,9,2
60.0,10,1
60.0,11,2
60.0,12,1
60.0,13,1
60.0,4562,1
60.5,1,111
60.5,2,26
60.5,3,16
60.5,4,6
60.5,5,2
60.5,6,4
60.5,7,4
60.5,8,2
60.5,11,2
60.5,12,1
60.5,18,1
60.5,19,1
60.5,21,1
60.5,24,1
60.5,25,1
60.5,26,1
60.5,36,1
60.5,87,1
60.5,4336,1
